,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),EGFR (M)
TP53 (M),-0.13,1.06,-0.13,-0.64,-0.98,-0.16
RB1 (M),0.0,-3.03,0.02,-1.9,-0.38,-0.0
RB1/13q (Del),-0.3,0.01,-1.0,-0.69,-0.42,0.0
STK11 (M),-2.36,-0.36,-0.54,-1.21,2.02,-3.09
KEAP1 (M),-0.67,-0.55,-0.78,0.0,-1.43,-4.06
EGFR (M),-1.07,-0.0,-0.0,-3.22,-3.21,-0.37
