,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),RBM10 (M)
TP53 (M),-0.07,0.01,0.0,-1.94,-0.03,-0.9
RB1 (M),0.97,-3.51,-0.0,-1.42,-0.98,-0.48
RB1/13q (Del),-0.48,-0.0,-0.83,-1.38,-1.38,-0.54
STK11 (M),-1.07,-1.19,-0.3,-1.26,-0.0,-1.0
KEAP1 (M),-1.26,-0.0,-0.15,2.22,-2.24,-0.96
RBM10 (M),-1.9,-0.01,-1.24,-0.5,-0.31,-1.4
