,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),MYC/8q (Amp)
TP53 (M),-0.19,0.0,0.0,-0.53,-0.66,0.0
RB1 (M),1.05,-3.49,0.0,-1.58,-0.27,-0.49
RB1/13q (Del),-0.45,0.0,-0.92,-0.49,-0.26,-0.26
STK11 (M),-3.27,-0.28,-1.07,-1.29,2.59,-1.39
KEAP1 (M),-1.1,-0.82,-1.42,-0.0,-1.59,-0.0
MYC/8q (Amp),-1.11,-0.68,-0.15,0.54,-1.09,-0.48
