,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),CDKN2A/9p (Del)
TP53 (M),0.13,0.0,-0.11,-2.23,-0.0,-1.62
RB1 (M),1.01,-3.28,0.0,-1.26,-0.91,-1.36
RB1/13q (Del),0.0,0.0,-1.08,-0.77,-0.79,0.0
STK11 (M),-0.79,-1.48,-0.49,-1.17,-0.0,-1.02
KEAP1 (M),-0.89,-0.0,-0.57,2.28,-2.34,-0.0
CDKN2A/9p (Del),-0.12,-1.26,0.45,0.0,-0.5,-0.69
