,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),null
TP53 (M),-0.16,0.97,-0.0,-1.95,-0.07,0.0
RB1 (M),0.0,-3.03,0.07,-1.36,-1.0,0.0
RB1/13q (Del),-0.5,0.0,-0.88,-1.32,-1.33,0.0
STK11 (M),-1.02,-1.41,-0.34,-1.34,-0.0,0.0
KEAP1 (M),-1.16,-0.0,-0.19,2.21,-2.32,0.0
null,0.0,0.0,0.0,0.0,0.0,0.0
