,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),ATRX (M)
TP53 (M),-0.15,0.98,-0.0,-2.0,-0.19,-0.21
RB1 (M),0.0,-3.03,0.06,-1.38,-1.11,-0.0
RB1/13q (Del),-0.49,0.0,-0.87,-1.39,-1.51,-0.0
STK11 (M),-0.97,-1.38,-0.3,-1.35,-0.0,-0.68
KEAP1 (M),-1.01,-0.0,-0.16,2.22,-2.36,0.28
ATRX (M),-0.68,-0.0,-0.12,-0.62,0.0,-3.17
