,T0,T1,T2,B_2
T0,-0.85,-0.19,0.01,-0.04
T1,-1.33,-1.88,-0.0,0.82
T2,0.06,0.59,-2.02,-0.06
B_2,0.0,-0.0,0.0,-1.53
